시즌,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
22,이호연,롯데,88,222,205,50,2,20,16,11,38,3,0.291,0.244,0.289,0.332,0.621,0.281,-0.21
22,홍성호,두산,12,19,18,3,0,3,0,1,7,0,0.273,0.167,0.211,0.167,0.378,0.183,-0.21
22,이현석,SSG,9,15,15,2,0,0,1,0,5,0,0.2,0.133,0.133,0.133,0.266,0.12,-0.21
22,김성표,삼성,17,18,17,2,0,5,0,1,5,2,0.167,0.118,0.167,0.118,0.285,0.142,-0.21
22,조수행,두산,117,134,119,28,1,36,9,10,31,22,0.303,0.235,0.295,0.311,0.606,0.281,-0.22
22,김재현,Hero,56,88,82,17,1,4,9,2,19,0,0.254,0.207,0.233,0.293,0.526,0.235,-0.22
22,공민규,삼성,15,22,19,3,0,0,2,1,10,0,0.3,0.158,0.227,0.158,0.385,0.197,-0.22
22,박준태,Hero,52,84,70,11,1,9,10,11,33,0,0.278,0.157,0.289,0.257,0.546,0.271,-0.22
22,강백호,KT,62,264,237,58,6,24,29,23,44,0,0.275,0.245,0.312,0.371,0.683,0.306,-0.23
22,김웅빈,Hero,45,135,115,26,1,17,11,13,38,0,0.329,0.226,0.326,0.313,0.639,0.303,-0.23
22,최영진,삼성,43,91,80,15,2,5,10,8,20,2,0.224,0.188,0.278,0.313,0.591,0.277,-0.23
22,박석민,NC,16,58,47,7,0,3,2,9,8,0,0.179,0.149,0.298,0.191,0.489,0.258,-0.24
22,오준혁,SSG,47,67,61,14,0,3,6,5,15,0,0.304,0.23,0.288,0.262,0.55,0.26,-0.25
22,한승택,KIA,65,119,102,18,1,11,12,9,30,0,0.236,0.176,0.261,0.225,0.486,0.239,-0.26
22,서예일,두산,35,27,25,4,0,2,2,1,6,0,0.211,0.16,0.192,0.2,0.392,0.182,-0.26
22,이재현,삼성,75,239,230,54,7,23,23,5,44,0,0.263,0.235,0.254,0.343,0.597,0.264,-0.27
22,안주형,삼성,18,23,20,3,0,2,2,1,6,0,0.2,0.15,0.182,0.15,0.332,0.158,-0.28
22,이해창,한화,4,11,10,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.28
22,이병규,Hero,24,40,38,7,0,7,5,2,11,1,0.259,0.184,0.225,0.263,0.488,0.226,-0.29
22,신성현,두산,17,25,23,2,1,3,2,2,5,1,0.059,0.087,0.16,0.217,0.377,0.176,-0.29
22,윤정빈,삼성,13,10,10,0,0,1,0,0,5,0,0,0,0,0,0,0,-0.29
22,김태훈,KT,7,10,10,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.29
22,최항,SSG,15,24,20,2,0,0,1,2,7,0,0.143,0.1,0.208,0.1,0.308,0.175,-0.3
22,장진혁,한화,41,132,116,27,2,11,17,12,28,2,0.281,0.233,0.298,0.302,0.6,0.277,-0.31
22,원혁재,한화,11,23,21,2,0,2,0,2,12,0,0.222,0.095,0.174,0.143,0.317,0.16,-0.32
22,이성규,삼성,13,34,27,2,0,5,1,5,8,0,0.105,0.074,0.265,0.074,0.339,0.216,-0.32
22,김민성,LG,92,157,140,29,3,16,20,10,27,0,0.234,0.207,0.273,0.3,0.573,0.266,-0.33
22,김태진,Hero,70,272,250,68,0,35,20,17,28,1,0.305,0.272,0.32,0.3,0.62,0.289,-0.34
22,도태훈,NC,91,163,139,30,2,18,13,13,23,0,0.239,0.216,0.282,0.309,0.591,0.272,-0.34
22,천재환,NC,29,36,35,5,1,4,1,0,11,1,0.174,0.143,0.167,0.257,0.424,0.189,-0.35
22,김호재,삼성,21,29,28,4,0,1,1,1,9,0,0.211,0.143,0.172,0.179,0.351,0.163,-0.35
22,김수환,Hero,57,168,140,25,4,18,14,21,56,0,0.259,0.179,0.297,0.307,0.604,0.288,-0.36
22,이영빈,LG,60,83,76,14,1,16,5,7,25,0,0.26,0.184,0.253,0.263,0.516,0.242,-0.37
22,오영수,NC,83,259,231,55,6,25,31,22,58,0,0.288,0.238,0.309,0.359,0.668,0.305,-0.38
22,김규성,KIA,70,52,50,9,1,14,4,1,12,0,0.216,0.18,0.196,0.28,0.476,0.212,-0.38
22,권동진,KT,48,40,38,5,0,9,4,1,16,4,0.227,0.132,0.154,0.211,0.365,0.166,-0.38
22,정민규,한화,9,24,23,3,0,3,0,0,11,0,0.25,0.13,0.167,0.13,0.297,0.149,-0.38
22,오재원,두산,18,31,29,5,0,2,4,1,9,1,0.238,0.172,0.194,0.241,0.435,0.193,-0.39
22,이원석,한화,20,39,35,4,1,4,1,3,18,0,0.188,0.114,0.184,0.2,0.384,0.183,-0.4
22,강태율,롯데,19,38,32,3,0,0,3,2,9,0,0.13,0.094,0.171,0.125,0.296,0.156,-0.4
22,오태곤,SSG,130,295,263,61,4,48,23,15,68,11,0.294,0.232,0.293,0.338,0.631,0.289,-0.41
22,김병희,KT,41,85,74,15,1,8,6,7,26,0,0.292,0.203,0.294,0.27,0.564,0.273,-0.41
22,김태진,KIA,7,4,4,0,0,2,0,0,2,0,0,0,0,0,0,0,-0.41
22,송준석,삼성,17,32,29,4,0,3,1,1,5,0,0.167,0.138,0.194,0.138,0.332,0.169,-0.42
22,임종찬,한화,20,57,53,10,2,2,6,3,23,0,0.276,0.189,0.228,0.321,0.549,0.233,-0.43
22,이주형,Hero,32,85,71,12,1,7,8,10,27,0,0.25,0.169,0.294,0.211,0.505,0.26,-0.43
22,루이즈,LG,27,94,84,13,1,10,6,9,13,1,0.169,0.155,0.234,0.262,0.496,0.233,-0.45
22,한태양,롯데,38,72,61,9,0,14,3,5,24,1,0.243,0.148,0.235,0.164,0.399,0.206,-0.45
22,김한별,NC,24,23,21,2,0,0,0,0,6,0,0.133,0.095,0.095,0.095,0.19,0.086,-0.45
22,최정용,KIA,30,23,22,2,0,5,0,0,6,0,0.125,0.091,0.091,0.091,0.182,0.082,-0.45
22,크론,SSG,67,259,243,54,11,21,35,9,68,0,0.256,0.222,0.255,0.42,0.675,0.291,-0.46
22,김성현,SSG,130,359,302,66,2,38,37,31,36,3,0.24,0.219,0.295,0.275,0.57,0.271,-0.46
22,강진성,두산,40,94,80,13,1,7,8,11,20,4,0.203,0.163,0.28,0.225,0.505,0.248,-0.46
22,박찬혁,Hero,52,175,161,34,6,13,17,9,67,0,0.318,0.211,0.274,0.354,0.628,0.286,-0.48
22,이성곤,한화,41,117,99,19,0,6,5,17,32,1,0.279,0.192,0.308,0.242,0.55,0.272,-0.48
22,이해승,삼성,46,106,99,23,0,11,5,1,29,0,0.329,0.232,0.24,0.263,0.503,0.226,-0.49
22,이학주,롯데,91,260,232,48,3,29,15,16,54,2,0.256,0.207,0.263,0.302,0.565,0.26,-0.49
22,박승규,삼성,62,83,74,16,0,10,4,3,15,2,0.267,0.216,0.244,0.243,0.487,0.224,-0.5
22,배성근,롯데,22,41,39,5,0,3,0,2,12,0,0.185,0.128,0.171,0.154,0.325,0.156,-0.5
22,김석환,KIA,51,107,94,14,3,15,7,10,32,0,0.186,0.149,0.252,0.266,0.518,0.25,-0.53
22,정훈,롯데,91,340,294,72,3,39,32,32,66,4,0.299,0.245,0.317,0.303,0.62,0.291,-0.54
22,윤형준,NC,35,69,67,14,1,5,5,1,21,1,0.289,0.209,0.232,0.269,0.501,0.228,-0.54
22,김응민,NC,34,75,67,9,1,7,5,3,12,0,0.145,0.134,0.192,0.194,0.386,0.186,-0.56
22,전병우,Hero,115,231,197,40,5,14,21,17,68,0,0.28,0.203,0.288,0.315,0.603,0.283,-0.58
22,이용규,Hero,86,326,271,54,0,34,21,45,42,12,0.234,0.199,0.326,0.221,0.547,0.28,-0.59
22,서호철,NC,89,214,195,40,2,26,14,12,41,3,0.25,0.205,0.265,0.277,0.542,0.254,-0.61
22,이진영,한화,70,240,220,44,8,27,31,17,90,2,0.288,0.2,0.254,0.373,0.627,0.276,-0.64
22,신본기,KT,74,138,121,22,1,9,8,10,28,0,0.226,0.182,0.254,0.231,0.485,0.234,-0.65
22,김동엽,삼성,30,100,95,21,2,9,4,4,22,0,0.264,0.221,0.25,0.337,0.587,0.259,-0.69
22,송민섭,KT,119,72,64,10,0,17,3,5,19,0,0.222,0.156,0.217,0.234,0.451,0.215,-0.7
22,정보근,롯데,95,226,199,38,1,8,15,14,55,1,0.257,0.191,0.25,0.216,0.466,0.224,-0.78
22,유로결,한화,30,68,60,8,0,5,4,4,9,0,0.157,0.133,0.2,0.133,0.333,0.171,-0.85
22,이도윤,한화,80,126,113,18,1,9,8,8,30,3,0.205,0.159,0.213,0.248,0.461,0.212,-0.86
22,박대온,NC,59,133,127,23,1,8,10,0,37,0,0.244,0.181,0.192,0.236,0.428,0.192,-0.89
22,조세진,롯데,39,88,86,16,0,6,6,1,25,0,0.262,0.186,0.195,0.221,0.416,0.187,-1.02
22,박경수,KT,100,194,166,20,3,13,10,24,70,0,0.181,0.12,0.234,0.193,0.427,0.215,-1.29
22,김헌곤,삼성,80,239,224,43,1,18,19,9,22,3,0.206,0.192,0.224,0.241,0.465,0.213,-1.87
22,박용택,LG,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
22,강로한,롯데,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
22,김재유,롯데,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
22,박재욱,LG,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
22,강상원,한화,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
22,고명성,KT,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
22,이정후,Hero,142,627,553,193,23,85,113,66,32,5,0.339,0.349,0.421,0.575,0.996,0.431,8.84
22,피렐라,삼성,141,630,561,192,28,102,109,55,81,15,0.361,0.342,0.411,0.565,0.976,0.423,7.32
22,나성범,KIA,144,649,563,180,21,92,97,64,137,6,0.388,0.32,0.402,0.508,0.91,0.403,6.41
22,최정,SSG,121,505,414,110,26,80,87,66,96,12,0.282,0.266,0.386,0.505,0.891,0.396,5.38
22,오지환,LG,142,569,494,133,25,75,87,62,107,20,0.296,0.269,0.357,0.47,0.827,0.368,5.07
22,양의지,NC,130,510,427,121,20,61,94,60,48,3,0.274,0.283,0.38,0.48,0.86,0.38,4.87
22,박건우,NC,111,463,408,137,10,52,61,44,62,3,0.375,0.336,0.408,0.458,0.866,0.392,4.39
22,소크라테스*,KIA,127,554,514,160,17,83,77,34,81,13,0.34,0.311,0.354,0.494,0.848,0.37,4.37
22,최지훈,SSG,144,640,569,173,10,93,61,47,77,31,0.335,0.304,0.362,0.427,0.789,0.356,4.36
22,터크먼,한화,144,648,575,166,12,88,43,64,104,19,0.334,0.289,0.366,0.43,0.796,0.358,4.21
